id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_8126,"MASK MIST X 2","Nuestro Mask Mist es la mezcla perfecta, desinfecta y purifica el tapabocas, matando virus y bacterias al aplicarlo, además promueve una mejor respiración a través de la aromaterapia.",https://lalabag.com/wp-content/uploads/2021/01/Foto-Mist-x-2.png,https://lalabag.com/product/mask-mist-x-2/,"Cuidado Personal","Lalabag",40000COP,in stock,wc_post_id_8126,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,40000COP,new,published,,,,,,,
wc_post_id_8123,"MASK MIST","Nuestro Mask Mist es la mezcla perfecta, desinfecta y purifica el tapabocas, matando virus y bacterias al aplicarlo, además promueve una mejor respiración a través de la aromaterapia.",https://lalabag.com/wp-content/uploads/2021/01/WhatsApp-Image-2021-01-22-at-6.19.45-PM.jpeg,https://lalabag.com/product/mask-mist/,"Cuidado Personal","Lalabag",25000COP,in stock,wc_post_id_8123,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,25000COP,new,published,,,,,,,
wc_post_id_7432,"Lalabag Duo Mensual","La suscripción incluye 4 o 5 Productos Gama Media y 4 o 5 productos gama alta. 
Las mejores marcas del mercado internacional, los productos infaltables en los kits de los maquilladores más reconocidos a nivel mundial 
¡Todos los productos que recibes son 100 % originales y seleccionados para ti!",https://lalabag.com/wp-content/uploads/2020/06/503x503-4-1.png,https://lalabag.com/product/lalabag-duo-mensual/,"suscripción","Lalabag",200000COP,in stock,wc_post_id_7432,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,200000COP,new,published,,,,,,,
wc_post_id_7425,"Lalabag Pro Semestral","¡Recibirás de 4-5 productos mini de gama alta! 
Tenemos las mejores marcas del mercado internacional, los productos infaltables en los kits de los maquilladores más reconocidos a nivel mundial 
¡Todos los productos que recibes son 100% originales y seleccionados para ti! 
¡Podrás probar cientos de marcas sin tener que gastar una cantidad de dinero exagerada! 
 
Un mes gratis.",https://lalabag.com/wp-content/uploads/2020/06/2-503x503-2.png,https://lalabag.com/product/lalabag-pro-semestral/,"suscripción","Lalabag",900000COP,in stock,wc_post_id_7425,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,900000COP,new,published,,,,,,,
wc_post_id_7422,"Lalabag Pro Trimestral","¡Recibirás de 4-5 productos mini de gama alta! 
Tenemos las mejores marcas del mercado internacional, los productos infaltables en los kits de los maquilladores más reconocidos a nivel mundial 
¡Todos los productos que recibes son 100% originales y seleccionados para ti! 
¡Podrás probar cientos de marcas sin tener que gastar una cantidad de dinero exagerada!",https://lalabag.com/wp-content/uploads/2020/06/2-503x503-2.png,https://lalabag.com/product/lalabag-pro-trimestral/,"suscripción","Lalabag",450000COP,in stock,wc_post_id_7422,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,400000COP,new,published,,,,,,,
wc_post_id_7421,"Lalabag Pro Mensual","¡Recibirás de 4-5 productos mini de gama alta! 
Tenemos las mejores marcas del mercado internacional, los productos infaltables en los kits de los maquilladores más reconocidos a nivel mundial 
¡Todos los productos que recibes son 100% originales y seleccionados para ti! 
¡Podrás probar cientos de marcas sin tener que gastar una cantidad de dinero exagerada!",https://lalabag.com/wp-content/uploads/2020/06/2-503x503-2.png,https://lalabag.com/product/lalabag-pro-mensual/,"suscripción","Lalabag",150000COP,in stock,wc_post_id_7421,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,150000COP,new,published,,,,,,,
wc_post_id_7419,"Lalabag Basic Semestral","Recibes 4-5 productos de gama media. Manejamos más de 50 marcas algunas de ellas son E.L.F. NYX, MAYBELLINE, LOREAL, WET N, WILD COVER GIRL, PHYSICIANS FORMULA, NYC, NEUTROGENA, THE BALM. Todos los productos que te llegan en tu LalaBag son seleccionados específicamente para ti, a través de la encuesta que realizas en el proceso de compra. 
 
Un mes gratis.",https://lalabag.com/wp-content/uploads/2020/06/1-503x503-2.png,https://lalabag.com/product/lalabag-basic-semestral/,"suscripción","Lalabag",360000COP,in stock,wc_post_id_7419,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,360000COP,new,published,,,,,,,
wc_post_id_7415,"Lalabag Basic Trimestral","Recibes 4-5 productos de gama media. Manejamos más de 50 marcas algunas de ellas son E.L.F. NYX, MAYBELLINE, LOREAL, WET N, WILD COVER GIRL, PHYSICIANS FORMULA, NYC, NEUTROGENA, THE BALM. Todos los productos que te llegan en tu LalaBag son seleccionados específicamente para ti, a través de la encuesta que realizas en el proceso de compra.",https://lalabag.com/wp-content/uploads/2020/06/1-503x503-2.png,https://lalabag.com/product/lalabag-basic-trimestral/,"suscripción","Lalabag",180000COP,in stock,wc_post_id_7415,,,1970-01-29T00:00+00:00/2038-01-17T23:59+00:00,165000COP,new,published,,,,,,,
wc_post_id_7410,"Lalabag Basic Mensual","Recibes 4-5 productos de gama media. Manejamos más de 50 marcas algunas de ellas son E.L.F. NYX, MAYBELLINE, LOREAL, WET N, WILD COVER GIRL, PHYSICIANS FORMULA, NYC, NEUTROGENA, THE BALM. Todos los productos que te llegan en tu LalaBag son seleccionados específicamente para ti, a través de la encuesta que realizas en el proceso de compra.",https://lalabag.com/wp-content/uploads/2020/06/1-503x503-2.png,https://lalabag.com/product/lalabag-basic-mensual/,"suscripción","Lalabag",60000COP,in stock,wc_post_id_7410,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,60000COP,new,published,,,,,,,
wc_post_id_6972,"LALABAG CO 1","¡Recibirás 5 productos hechos en Colombia de la más alta calidad! 
 
Todos los productos que recibes son especialmente seleccionados bajo el 'sello Marce', con el propósito de apoyar los mejores productos de emprendedores Colombianos. 
 
  
 
Todo fue creado y escogido pensando en TODAS! Los 5 productos son tamaño travel size (mini), los pueden utilizar todas y todos! Sin importar color de cabello o tipo de piel!. 
 
Incluye: 
 
Mascarilla de Arcilla 200Gr 
 
Mascarilla Capilar Keratina 30Ml 
 
Aceite de Coco Extra virgen 130Gr 
 
Crema Hidratante Nutritiva 40Ml 
 
Agua de Arroz Orgánico",https://lalabag.com/wp-content/uploads/2020/06/lalabagCoJulio2020-1.jpeg,https://lalabag.com/product/lalabag-co-uno/,"Membresia","Lalabag",40000COP,in stock,wc_post_id_6972,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,40000COP,new,published,,,,,,,
